title,code,location,price,characteristics,img
Arriendo de Apartamento en Medellín,AA-60320," El salvador, Medellín",$1.180.000,56 Metros|2 Baños|2 Alcobas,http://www.w3.org/2000/svg%22%20viewBox=%220%200%20210%20140%22%3E%3C/svg%3E
Arriendo de Apartamento en Medellín,AA-74470," Lorena, Medellín",$2.400.000,70 Metros|2 Baños|2 Alcobas,http://www.w3.org/2000/svg%22%20viewBox=%220%200%20210%20140%22%3E%3C/svg%3E
Arriendo de Apartamento en Medellín,AA-74473," La visitacion los gonzalez, Medellín",$4.500.000,78 Metros|2 Baños|3 Alcobas,https://s3.amazonaws.com/com.albertoalvarez.fullpublic/propertyPictures//property-AA-74473-1.jpg
Arriendo de Apartamento en Medellín,AA-74469," Lorena, Medellín",$2.400.000,70 Metros|2 Baños|2 Alcobas,https://s3.amazonaws.com/com.albertoalvarez.fullpublic/propertyPictures//property-AA-74469-1.jpg
Arriendo de Apartamento en Medellín,AA-74466," Patio bonito, Medellín",$6.800.000,116 Metros|3 Baños|2 Alcobas,https://s3.amazonaws.com/com.albertoalvarez.fullpublic/propertyPictures//property-AA-74466-1.jpg
Arriendo de Apartamento en Medellín,AA-74464," El campestre la frontera, Medellín",$4.000.000,86 Metros|2 Baños|2 Alcobas,http://www.w3.org/2000/svg%22%20viewBox=%220%200%20210%20140%22%3E%3C/svg%3E
Arriendo de Apartamento en Medellín,AA-74462," La candelaria, Medellín",$1.250.000,45 Metros|1 Baños|1 Alcobas,http://www.w3.org/2000/svg%22%20viewBox=%220%200%20210%20140%22%3E%3C/svg%3E
Arriendo de Apartamento en Medellín,AA-74459," La calera, Medellín",$6.400.000,130 Metros|3 Baños|2 Alcobas,http://www.w3.org/2000/svg%22%20viewBox=%220%200%20210%20140%22%3E%3C/svg%3E
Arriendo de Apartamento en Medellín,AA-74445," Los balsos, Medellín",$4.000.000,102 Metros|3 Baños|3 Alcobas,http://www.w3.org/2000/svg%22%20viewBox=%220%200%20210%20140%22%3E%3C/svg%3E
Arriendo de Apartamento en Medellín,AA-74421," Buenos aires, Medellín",$2.000.000,130 Metros|- Baños|4 Alcobas,http://www.w3.org/2000/svg%22%20viewBox=%220%200%20210%20140%22%3E%3C/svg%3E
Arriendo de Apartamento en Medellín,AA-74420," Calasanz, Medellín",$2.300.000,64 Metros|2 Baños|2 Alcobas,http://www.w3.org/2000/svg%22%20viewBox=%220%200%20210%20140%22%3E%3C/svg%3E
Arriendo de Apartamento en Medellín,AA-74415," Rodeo alto, Medellín",$2.000.000,58 Metros|2 Baños|2 Alcobas,https://s3.amazonaws.com/com.albertoalvarez.fullpublic/propertyPictures//property-AA-74415-1.jpg
Arriendo de Apartamento en Medellín,AA-74404," Prado, Medellín",$2.500.000,60 Metros|2 Baños|3 Alcobas,https://s3.amazonaws.com/com.albertoalvarez.fullpublic/propertyPictures//property-AA-74404-1.jpg
Arriendo de Apartamento en Medellín,AA-74399," Los balsos, Medellín",$5.300.000,89 Metros|2 Baños|2 Alcobas,https://s3.amazonaws.com/com.albertoalvarez.fullpublic/propertyPictures//property-AA-74399-1.jpg
Arriendo de Apartamento en Medellín,AA-74387," El tesoro, Medellín",$9.000.000,140 Metros|2 Baños|3 Alcobas,http://www.w3.org/2000/svg%22%20viewBox=%220%200%20210%20140%22%3E%3C/svg%3E
Arriendo de Apartamento en Medellín,AA-74385," El tesoro, Medellín",$4.200.000,78 Metros|3 Baños|2 Alcobas,http://www.w3.org/2000/svg%22%20viewBox=%220%200%20210%20140%22%3E%3C/svg%3E
Arriendo de Apartamento en Medellín,AA-74381," Las lomas, Medellín",$4.200.000,120 Metros|3 Baños|3 Alcobas,http://www.w3.org/2000/svg%22%20viewBox=%220%200%20210%20140%22%3E%3C/svg%3E
Arriendo de Apartamento en Medellín,AA-74379," Altos del poblado cola del zorro, Medellín",$6.400.000,103 Metros|2 Baños|2 Alcobas,http://www.w3.org/2000/svg%22%20viewBox=%220%200%20210%20140%22%3E%3C/svg%3E
Arriendo de Apartamento en Medellín,AA-74365," San diego, Medellín",$3.000.000,63 Metros|3 Baños|2 Alcobas,http://www.w3.org/2000/svg%22%20viewBox=%220%200%20210%20140%22%3E%3C/svg%3E
Arriendo de Apartamento en Medellín,AA-74362," Castropol, Medellín",$4.400.000,84 Metros|3 Baños|2 Alcobas,http://www.w3.org/2000/svg%22%20viewBox=%220%200%20210%20140%22%3E%3C/svg%3E
Arriendo de Apartamento en Medellín,AA-74360," Calasanz, Medellín",$1.700.000,55 Metros|2 Baños|3 Alcobas,https://s3.amazonaws.com/com.albertoalvarez.fullpublic/propertyPictures//property-AA-74360-1.jpg
Arriendo de Apartamento en Medellín,AA-74354," Santa fé, Medellín",$1.800.000,150 Metros|2 Baños|3 Alcobas,https://s3.amazonaws.com/com.albertoalvarez.fullpublic/propertyPictures//property-AA-74354-1.jpg
Arriendo de Apartamento en Medellín,AA-74352," Las lomas, Medellín",$4.000.000,100 Metros|2 Baños|3 Alcobas,https://s3.amazonaws.com/com.albertoalvarez.fullpublic/propertyPictures//property-AA-74352-1.jpg
Arriendo de Apartamento en Medellín,AA-74328," Calasanz, Medellín",$2.500.000,65 Metros|2 Baños|2 Alcobas,http://www.w3.org/2000/svg%22%20viewBox=%220%200%20210%20140%22%3E%3C/svg%3E
Arriendo de Apartamento en Medellín,AA-74345," Castropol, Medellín",$4.000.000,65 Metros|2 Baños|2 Alcobas,http://www.w3.org/2000/svg%22%20viewBox=%220%200%20210%20140%22%3E%3C/svg%3E
Arriendo de Apartamento en Medellín,AA-74338," Robledo, Medellín",$1.400.000,54 Metros|2 Baños|3 Alcobas,http://www.w3.org/2000/svg%22%20viewBox=%220%200%20210%20140%22%3E%3C/svg%3E
Arriendo de Apartamento en Medellín,AA-74335," Aguacatala, Medellín",$3.500.000,70 Metros|2 Baños|2 Alcobas,http://www.w3.org/2000/svg%22%20viewBox=%220%200%20210%20140%22%3E%3C/svg%3E
Arriendo de Apartamento en Medellín,AA-74330," Loma de san julián, Medellín",$2.600.000,56 Metros|2 Baños|2 Alcobas,http://www.w3.org/2000/svg%22%20viewBox=%220%200%20210%20140%22%3E%3C/svg%3E
Arriendo de Apartamento en Medellín,AA-74326," Loma del indio, Medellín",$3.600.000,80 Metros|2 Baños|3 Alcobas,http://www.w3.org/2000/svg%22%20viewBox=%220%200%20210%20140%22%3E%3C/svg%3E
Arriendo de Apartamento en Medellín,AA-74148," El tesoro, Medellín",$4.200.000,78 Metros|3 Baños|2 Alcobas,https://s3.amazonaws.com/com.albertoalvarez.fullpublic/propertyPictures//property-AA-74148-1.jpg
Arriendo de Apartamento en Medellín,AA-74316," Altos del poblado cola del zorro, Medellín",$5.500.000,92 Metros|2 Baños|3 Alcobas,https://s3.amazonaws.com/com.albertoalvarez.fullpublic/propertyPictures//property-AA-74316-1.jpg
Arriendo de Apartamento en Medellín,AA-74313," La visitacion los gonzalez, Medellín",$8.000.000,186 Metros|5 Baños|3 Alcobas,https://s3.amazonaws.com/com.albertoalvarez.fullpublic/propertyPictures//property-AA-74313-1.jpg
Arriendo de Apartamento en Medellín,AA-74309," La asomadera, Medellín",$5.600.000,122 Metros|4 Baños|3 Alcobas,http://www.w3.org/2000/svg%22%20viewBox=%220%200%20210%20140%22%3E%3C/svg%3E
Arriendo de Apartamento en Medellín,AA-74299," Laureles, Medellín",$3.900.000,75 Metros|2 Baños|3 Alcobas,http://www.w3.org/2000/svg%22%20viewBox=%220%200%20210%20140%22%3E%3C/svg%3E
